"Airport Report",,,,,,,,,,,
,,,,,,,,,,,
"Code","Name","City","State","State Name"," Latitude "," Longitude ","Country","Country Name","Global Region","WAC","Notes"
"ALD","Alerta","Alerta","  "," ",-11.70,-69.35,"PE","Peru","South America",368,
"ALE","Alpine Airport","Alpine","TX","Texas",30.42,-103.75,"US","United States","North America",74,
"ALF","Alta","Alta","  "," ",69.98,23.38,"NO","Norway","Europe",465,
"ALG","Houari Boumediene ","Algiers","  "," ",36.69,3.22,"DZ","Algeria","Africa",500,
"ALH","Albany","Albany","WA","Western Australia",-34.95,117.81,"AU","Australia","Australasia",802,
"ALI","Alice ","Alice","TX","Texas",27.73,-98.02,"US","United States","North America",74,
"ALJ","Kortdoorn ","Alexander Bay","  "," ",-28.57,16.54,"ZA","South Africa","Africa",562,
"ALK","Asela ","Asela","  "," ",7.97,39.12,"ET","Ethiopia","Africa",522,
"ALL","Albenga ","Albenga","  "," ",44.03,8.12,"IT","Italy","Europe",450,
"ALM","Alamogordo Municipal","Alamogordo","NM","New Mexico",32.84,-105.99,"US","United States","North America",86,
"ALN","Alton Airport","Alton","IL","Illinois",38.90,-90.05,"US","United States","North America",41,
"ALO","Waterloo Municipal","Waterloo","IA","Iowa",42.56,-92.40,"US","United States","North America",61,
"ALP","Nejrab","Aleppo","  "," ",36.18,37.23,"SY","Syria","Middle East",676,
"ALQ","Alegrete Federal","Alegrete","RS","Rio Grande do Sul",-29.80,-55.76,"BR","Brazil","South America",316,
"ALR","Alexandra Airport","Alexandra","  "," ",-45.21,169.37,"NZ","New Zealand","Australasia",851,
"ALS","Alamosa Municipal ","Alamosa","CO","Colorado",37.44,-105.87,"US","United States","North America",82,
"ALT","Alenquer","Alenquer","PA","Para",-1.94,-54.74,"BR","Brazil","South America",316,
"ALU","Alula Airport","Alula","  "," ",11.97,50.80,"SO","Somalia","Africa",573,
"ALV","Andorra La Vella","Andorra La Vella","  "," ",42.52,1.53,"AD","Andorra","Europe",402,
"ALW","Walla Walla ","Walla Walla","WA","Washington",46.09,-118.29,"US","United States","North America",93,
"ALX","Alexander City","Alexander City","AL","Alabama",32.93,-85.95,"US","United States","North America",51,
"ALY","El Nozha","Alexandria","  "," ",31.19,29.95,"EG","Egypt","Africa",591,
"ALZ","Alitak Spb","Alitak","AK","Alaska",56.90,-154.25,"US","United States","North America",1,
"AMA","Amarillo Intl ","Amarillo","TX","Texas",35.23,-101.72,"US","United States","North America",74,
"AMB","Ambilobe","Ambilobe","  "," ",-13.18,48.98,"MG","Madagascar","Africa",541,
"AMC","Am Timan","Am Timan","  "," ",11.03,20.28,"TD","Chad","Africa",511,
"AMD","Ahmedabad ","Ahmedabad","  "," ",23.07,72.62,"IN","India","Asia",733,
"AME","Alto Molocue","Alto Molocue","  "," ",-15.65,37.68,"MZ","Mozambique","Africa",550,
"AMF","Ama ","Ama","  "," ",-4.17,143.50,"PG","Papua New Guinea","Australasia",804,
